tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
N050AA,null,null,null,null,null,null,null,null
N051AA,null,null,null,null,null,null,null,null
N052AA,null,null,null,null,null,null,null,null
N054AA,null,null,null,null,null,null,null,null
N055AA,null,null,null,null,null,null,null,null
N056AA,null,null,null,null,null,null,null,null
N057AA,null,null,null,null,null,null,null,null
N058AA,null,null,null,null,null,null,null,null
N059AA,null,null,null,null,null,null,null,null
N060AA,null,null,null,null,null,null,null,null
N061AA,null,null,null,null,null,null,null,null
N062AA,null,null,null,null,null,null,null,null
N063AA,null,null,null,null,null,null,null,null
N064AA,null,null,null,null,null,null,null,null
N065AA,null,null,null,null,null,null,null,null
N066AA,null,null,null,null,null,null,null,null
N067AA,null,null,null,null,null,null,null,null
N068AA,null,null,null,null,null,null,null,null
N069AA,null,null,null,null,null,null,null,null
N070AA,null,null,null,null,null,null,null,null
N071AA,null,null,null,null,null,null,null,null
N072AA,null,null,null,null,null,null,null,null
N073AA,null,null,null,null,null,null,null,null
N074AA,null,null,null,null,null,null,null,null
N075AA,null,null,null,null,null,null,null,null
N076AA,null,null,null,null,null,null,null,null
N077AA,null,null,null,null,null,null,null,null
N078AA,null,null,null,null,null,null,null,null
N079AA,null,null,null,null,null,null,null,null
N080AA,null,null,null,null,null,null,null,null
N081AA,null,null,null,null,null,null,null,null
N082AA,null,null,null,null,null,null,null,null
N083AA,null,null,null,null,null,null,null,null
N084AA,null,null,null,null,null,null,null,null
N10156,Corporation,EMBRAER,02/13/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N102UW,Corporation,AIRBUS INDUSTRIE,05/26/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N10323,Corporation,BOEING,07/01/1997,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N103US,Corporation,AIRBUS INDUSTRIE,06/18/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N104UA,Corporation,BOEING,01/26/1998,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N104UW,Corporation,AIRBUS INDUSTRIE,07/02/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N10575,Corporation,EMBRAER,06/24/2003,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N105UA,Corporation,BOEING,10/15/2007,747-451,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N105UW,Corporation,AIRBUS INDUSTRIE,07/22/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N106US,Corporation,AIRBUS INDUSTRIE,08/05/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N107UA,Corporation,BOEING,08/24/1998,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N107US,Corporation,AIRBUS INDUSTRIE,08/17/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N108UW,Corporation,AIRBUS INDUSTRIE,09/03/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N109UW,Corporation,AIRBUS INDUSTRIE,09/10/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N110UW,Corporation,AIRBUS INDUSTRIE,11/22/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11106,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11107,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11109,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11113,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11119,Corporation,EMBRAER,01/08/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11121,Corporation,EMBRAER,01/22/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11127,Corporation,EMBRAER,03/10/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11137,Corporation,EMBRAER,05/21/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11140,Corporation,EMBRAER,06/16/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11150,Corporation,EMBRAER,10/21/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11155,Corporation,EMBRAER,01/28/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11164,Corporation,EMBRAER,06/09/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11165,Corporation,EMBRAER,06/24/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11176,Corporation,EMBRAER,01/12/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11181,Corporation,EMBRAER,04/13/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11184,Corporation,EMBRAER,05/25/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11187,Corporation,EMBRAER,07/13/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
